Channel,CoverageArea,Decision,Frequency,FrequencyUnit,Holder,Location,Programms,ValidTo
32,Center,38112-6/2011/12,,,RTV SLOVENIJA,HRASTNIK 2,,2019-08-06
32,Center,38112-6/2011/13,,,RTV SLOVENIJA,KISOVEC,,2019-08-06
32,Center,38112-6/2011/14,,,RTV SLOVENIJA,METLIKA,,2021-03-01
32,Center,38112-6/2011/15,,,RTV SLOVENIJA,OBREŽJE,,2021-03-01
32,Center,38112-6/2011/16,,,RTV SLOVENIJA,SEVNICA LAZE,,2021-03-01
32,Center,38112-6/2011/17,,,RTV SLOVENIJA,SVIBNO,,2021-03-01
32,Center,38112-6/2011/18,,,RTV SLOVENIJA,VINICA,,2019-08-06
32,Center,38112-6/2011/19,,,RTV SLOVENIJA,ZAGORJE,,2019-08-06
32,Center,38112-6/2011/20,,,RTV SLOVENIJA,ZIDANI MOST,,2021-03-01
32,Center,38112-6/2011/23,,,RTV SLOVENIJA,LJUBLJANA 3,,2019-08-06
32,Center,38112-6/2011/24,,,RTV SLOVENIJA,PEČ,,2019-11-18
32,Center,38112-6/2011/27,,,RTV SLOVENIJA,LOŠKI POTOK,,2019-07-14
32,Center,38112-6/2011/28,,,RTV SLOVENIJA,LOŽ,,2019-07-14
32,Center,38112-6/2011/5,,,RTV SLOVENIJA,BIZELJSKO,,2019-07-14
32,Center,38112-6/2011/6,,,RTV SLOVENIJA,ČRNOMELJ,,2019-08-06
32,Center,38112-6/2011/7,,,RTV SLOVENIJA,KOČEVJE,,2019-08-06
32,Center,38112-6/2011/8,,,RTV SLOVENIJA,KRŠKO,,2021-03-01
32,Center,38112-6/2011/9,,,RTV SLOVENIJA,TRBOVLJE 1,,2019-08-06
32,Center,38112-60/2011/2,,,RTV SLOVENIJA,PODBRDO,,2019-10-28
27,Center,38112-60/2012/4,,,RTV SLOVENIJA,JEVNICA 2,,2017-07-15
29,Zahod,38112-61/2011/3,,,RTV SLOVENIJA,GORENJA TREBUŠA,,2017-02-01
27,Center,38112-61/2012/4,,,RTV SLOVENIJA,JEZERSKO 2,,2017-07-09
27,Zahod,38112-62/2011/2,,,RTV SLOVENIJA,HOTEDRŠICA 1,,2019-10-19
27,Center,38112-62/2012/4,,,RTV SLOVENIJA,ŽELEZNIKI 1,,2017-07-09
32,Center,38112-64/2012/3,,,RTV SLOVENIJA,TRŽIČ 2,,2022-07-09
32,Center,38112-65/2011/2,,,RTV SLOVENIJA,LITIJA,,2021-12-19
27,Center,38112-65/2012/4,,,RTV SLOVENIJA,PIŠECE,,2017-07-09
27,Center,38112-65/2012/6,,,RTV SLOVENIJA,ZGORNJA LUŠA,,2017-07-09
32,Zahod,38112-68/2012/4,,,RTV SLOVENIJA,BABNO POLJE,,2017-08-12
27,Center,38112-69/2012/4,,,RTV SLOVENIJA,BLAGOVICA,,2017-08-11
28,Zahod,38112-70/2012/4,,,RTV SLOVENIJA,KANAL,,2017-08-12
28,Zahod,38112-72/2012/4,,,RTV SLOVENIJA,KANOMLJA,,2017-09-06
32,Vzhod,38112-73/2012/4,,,RTV SLOVENIJA,STOGOVCI,,2017-09-05
57,Murska Sobota,38112-77/2012/5,,,HI-FI d.o.o.,MURSKA SOBOTA,,2022-09-08
34,med Ajdovščino in Bovcem,38112-79/2012/2,,,"ALTERHDTV, IGOR PETERNELJ S.P.",TRSTELJ,,2022-09-08
